item_id,city,country,stars,room_count,overall_liking,based_on,hotel_type_id
6607,East Annside,Colombia,4,148.0,8004.0,3675,2
8321,West Amymouth,Cape Verde,4,815.0,8959.0,4311,2
12566,Andrewland,Martinique,4,790.0,7375.0,6125,2
14270,South Bobbyfurt,Colombia,4,130.0,7289.0,2571,2
14883,West Caitlinhaven,Colombia,4,121.0,8151.0,2143,2
22574,North Thomas,Indonesia,4,143.0,8016.0,4835,2
24921,Amystad,Egypt,3,55.0,8034.0,971,2
25591,Benjaminton,Egypt,3,55.0,6027.0,381,2
35331,Sarahhaven,Georgia,4,262.0,7715.0,968,2
41180,Port Melissahaven,Sierra Leone,4,131.0,8666.0,3573,2
41590,Michaelmouth,Netherlands,3,278.0,7283.0,2548,53
42374,East Christopherfurt,Saint Kitts and Nevis,4,602.0,8640.0,3033,2
43787,West Kevin,Palestinian Territory,3,201.0,8619.0,2625,2
44972,West Eric,Palestinian Territory,4,227.0,8112.0,4125,2
46357,Sandovalfort,Martinique,3,20.0,8603.0,622,2
51501,Jamesmouth,Colombia,4,120.0,8261.0,1516,2
54051,West Rose,Bahamas,3,81.0,8108.0,4668,2
55098,South Michael,Nigeria,0,38.0,8165.0,634,6
60531,Ericchester,Cape Verde,3,152.0,8641.0,3471,2
60561,Willisport,Cape Verde,2,44.0,6437.0,1336,2
60635,Smithfurt,Cape Verde,3,62.0,6584.0,1897,2
61105,Jonathanhaven,Cape Verde,3,146.0,8213.0,1230,2
67424,West Amymouth,Cape Verde,3,261.0,6766.0,3595,2
67645,West Sharon,Cape Verde,4,814.0,8171.0,9760,53
70379,West Mason,Cape Verde,3,150.0,8078.0,2761,2
72955,New Judithland,Cape Verde,3,132.0,8171.0,2827,2
78282,Meyerfurt,Cape Verde,3,112.0,8265.0,824,6
78546,New Patricia,Cape Verde,2,118.0,6948.0,2823,2
78562,North Beverly,Cape Verde,2,,6838.0,1516,2
79285,Port Robertmouth,Cape Verde,3,120.0,8426.0,877,2
79362,Walkerton,Cape Verde,4,752.0,8176.0,4003,2
79637,Lake Edward,Cape Verde,3,65.0,7828.0,487,2
96112,Zamoraville,Croatia,4,116.0,8923.0,1983,2
100119,Johnsontown,Falkland Islands (Malvinas),4,113.0,7584.0,387,6
102074,West Adamville,Nigeria,4,80.0,7966.0,2640,2
102787,South Kimberly,Cape Verde,3,500.0,7465.0,5911,53
102855,West Amymouth,Cape Verde,4,1990.0,7506.0,17043,53
103544,Troystad,Gambia,0,796.0,8910.0,3771,2
105224,Rachelfort,Nigeria,4,20.0,8883.0,322,5
105437,Nancyport,Nigeria,4,175.0,8679.0,2495,2
105521,Hansenhaven,Nigeria,4,135.0,7590.0,3153,53
106767,Rogerschester,Puerto Rico,2,90.0,7195.0,871,2
107289,Port Richardshire,Burkina Faso,3,31.0,7283.0,774,2
116291,Lake Chelseaton,Colombia,3,479.0,7653.0,2650,2
132183,Harrisstad,Puerto Rico,5,201.0,7248.0,1390,2
137772,New Makaylaland,Philippines,4,258.0,8536.0,2224,2
147857,Lopezburgh,Martinique,3,113.0,8370.0,1666,2
147913,South Michael,Nigeria,3,37.0,6924.0,324,2
150265,Kingside,Indonesia,3,13.0,8661.0,918,2
151147,Ingramberg,Palestinian Territory,4,41.0,8329.0,1453,2
180816,Daniellefurt,Turkmenistan,5,264.0,8312.0,1707,53
208956,North Ronaldstad,Puerto Rico,4,100.0,8084.0,1115,2
240136,Davidberg,Martinique,4,85.0,8012.0,2391,2
242581,North Alejandro,Cape Verde,2,63.0,7882.0,1492,2
324361,Port Jodi,Nigeria,3,48.0,8450.0,1269,5
335541,Garyland,Colombia,3,114.0,6771.0,1086,2
357676,Tiffanyfort,Cape Verde,4,99.0,9186.0,1744,53
365606,West Lee,Cape Verde,4,120.0,7003.0,692,2
396461,South Cindymouth,Cape Verde,4,258.0,8618.0,2505,2
396771,Port Rachelburgh,Croatia,4,52.0,8669.0,1823,2
449046,Randallville,Cape Verde,2,36.0,7352.0,1831,4
668591,Mullinsville,Nigeria,0,,8935.0,296,8
750131,Murrayfort,French Guiana,4,51.0,8173.0,755,2
814916,Riggsmouth,Cape Verde,0,,6558.0,186,53
843531,Lake Elizabethfurt,Palestinian Territory,3,92.0,8622.0,1674,2
847551,Hallfurt,Saint Lucia,3,405.0,7320.0,396,2
854466,Lake Charles,Bahamas,4,119.0,7293.0,697,2
917585,Rogerschester,Puerto Rico,4,115.0,7447.0,699,2
987379,Carlside,Saint Lucia,4,160.0,8380.0,2529,2
993195,Port Aaron,Puerto Rico,4,47.0,7700.0,549,2
1004895,Williamschester,Dominica,3,32.0,7624.0,80,53
1023033,Andersonland,Puerto Rico,3,19.0,9137.0,5422,2
1044364,Lake Thomas,Cape Verde,0,45.0,8233.0,2110,9
1059380,Blackburnport,Cape Verde,4,1509.0,7954.0,12742,53
1100554,New Gloria,Martinique,3,14.0,8206.0,172,2
1105466,Rogerschester,Puerto Rico,4,108.0,7743.0,1336,2
1116611,New Angel,Puerto Rico,3,40.0,7075.0,696,53
1131089,Marymouth,Somalia,0,11.0,7579.0,760,2
1172160,Lake Peter,Nigeria,4,104.0,8614.0,2471,6
1192958,North Michelle,Colombia,0,180.0,8731.0,3762,6
1224366,Coltonbury,Indonesia,3,22.0,8851.0,126,2
1265121,Lake Lanceshire,Nigeria,4,,8994.0,2307,6
1266904,Lake Elizabethfurt,Martinique,2,126.0,5808.0,784,2
1354142,Burkemouth,Palau,5,12.0,8163.0,221,53
1388686,Baldwinville,Puerto Rico,3,49.0,7788.0,210,2
1460205,Benjaminport,Puerto Rico,3,31.0,7312.0,650,5
1471903,Jamesfort,Switzerland,1,184.0,7803.0,3291,2
1594253,West Caitlinfort,Martinique,3,94.0,8605.0,1350,2
2006597,East Thomas,Martinique,0,4.0,7934.0,388,3
2215340,Sullivanton,Puerto Rico,3,25.0,7807.0,193,2
2347306,Beverlyland,Saint Lucia,4,150.0,8143.0,2574,2
2417264,Richardfort,Indonesia,0,8.0,9095.0,506,3
2614402,Lake Keith,Cape Verde,3,12.0,7654.0,27,5
2662133,Nelsonborough,Puerto Rico,3,,7101.0,236,2
2662996,Drakemouth,Puerto Rico,3,28.0,7484.0,123,2
2730434,Lake Lindsay,Puerto Rico,2,37.0,7136.0,498,2
2813886,West Richard,Croatia,4,,8019.0,100,2
2874230,Lindsaybury,Puerto Rico,3,,9126.0,5168,2
2909990,Laurenberg,Puerto Rico,0,,8283.0,111,53
2973334,West Bryanborough,Poland,5,471.0,8636.0,1512,2
3110090,South Bobbyfurt,Colombia,0,160.0,7369.0,3115,2
3144423,Danielstad,Equatorial Guinea,0,60.0,7868.0,129,2
3150196,Lake Amybury,Cape Verde,3,90.0,8810.0,1082,2
3150438,North Nicholas,Croatia,3,126.0,7423.0,391,2
3152174,Walkerton,Cape Verde,2,,6775.0,606,2
3182900,Harrisstad,Puerto Rico,4,1.0,7968.0,747,2
