journey_id,booking_date,checkin_date,checkout_date,ota_id,language,is_in_app,item_id
66623,2019-01-17,2019-02-07,2019-02-10,860,en,False,52
66624,2019-01-17,2019-02-07,2019-02-10,860,en,False,52
66625,2019-02-05,2019-02-07,2019-02-08,1806,en,False,5976234
66626,2019-02-05,2019-02-16,2019-02-17,1232,en,False,98820
66627,2019-02-05,2019-02-14,2019-02-16,1806,en,False,4475514
66628,2019-02-05,2019-02-08,2019-02-09,38,en,False,18806
66629,2019-02-05,2019-02-06,2019-02-07,2024,en,False,3141476
66631,2019-02-05,2019-02-06,2019-02-07,1512,en,False,12258
66632,2019-02-05,2019-02-08,2019-02-09,38,en,False,1471157
66633,2019-02-05,2019-02-07,2019-02-08,1304,en,False,2196582
66636,2019-02-05,2019-02-10,2019-02-11,2024,en,False,1002535
66637,2019-02-05,2019-02-06,2019-02-07,277,en,False,19422
66639,2019-02-05,2019-02-05,2019-02-06,2502,en,False,2656558
66640,2019-02-05,2019-02-05,2019-02-06,38,en,False,5749452
66641,2019-02-05,2019-02-05,2019-02-07,297,en,False,2051955
66642,2019-02-05,2019-02-08,2019-02-09,1806,en,False,2239690
66980,2019-02-05,2019-02-08,2019-02-11,1232,en,False,360766
66981,2019-02-05,2019-02-16,2019-02-17,1806,en,False,11372
66982,2019-02-05,2019-02-07,2019-02-14,1512,en,False,129621
67002,2019-02-05,2019-02-08,2019-02-09,1304,en,False,1230128
67035,2019-02-05,2019-02-10,2019-02-15,1806,en,False,98842
67041,2019-02-06,2019-02-07,2019-02-10,860,en,False,9444
67042,2019-02-06,2019-02-16,2019-02-17,1806,en,False,17184
67043,2019-02-06,2019-02-11,2019-02-15,1232,en,False,4042976
67044,2019-02-06,2019-02-09,2019-02-10,1806,en,False,14694
67045,2019-02-06,2019-02-19,2019-02-20,1806,en,False,2627736
67049,2019-02-06,2019-02-08,2019-02-09,1806,en,False,47302
67050,2019-02-06,2019-02-12,2019-02-15,38,en,False,1074658
67054,2019-02-06,2019-02-19,2019-02-21,1232,,,14676
67055,2019-02-06,2019-02-19,2019-02-21,1232,en,False,14676
67056,2019-02-06,2019-02-15,2019-02-17,2782,en,False,20750
67060,2019-02-06,2019-04-22,2019-04-24,1304,,,8552
67061,2019-02-06,2019-04-22,2019-04-24,1304,en,False,8552
67065,2019-02-05,2019-02-11,2019-02-14,1304,en,False,8552
67066,2019-02-05,2019-02-10,2019-02-14,1304,,,8552
67067,2019-02-05,2019-02-10,2019-02-14,1304,en,False,8552
67083,2019-02-06,2019-02-09,2019-02-10,1512,en,False,77352
67125,2019-02-05,2019-02-12,2019-02-15,1232,en,False,9793
67126,2019-02-05,2019-02-13,2019-02-15,1232,en,False,9793
67128,2019-02-07,2019-02-13,2019-02-22,1512,en,False,1272218
67133,2019-02-07,2019-02-19,2019-02-20,1806,en,False,1379787
67134,2019-02-07,2019-02-16,2019-02-17,1806,en,False,4523374
67135,2019-02-07,2019-02-09,2019-02-10,1806,en,False,14694
67136,2019-02-07,2019-02-22,2019-02-23,297,en,False,14694
67138,2019-02-07,2019-02-08,2019-02-10,860,en,False,559461
67139,2019-02-07,2019-02-08,2019-02-09,1512,en,False,105083
67140,2019-02-07,2019-02-19,2019-02-21,1806,en,False,2466777
67141,2019-02-07,2019-02-08,2019-02-12,1806,en,False,5716
67149,2019-02-06,2019-02-06,2019-02-07,1806,en,False,85851
67150,2019-02-06,2019-02-06,2019-02-08,1512,en,False,9169608
67151,2019-02-05,2019-02-06,2019-02-07,1304,en,False,1240137
67152,2019-02-06,2019-02-06,2019-02-08,1304,en,False,1240137
67153,2019-02-06,2019-02-06,2019-02-07,38,en,False,1840111
67155,2019-02-07,2019-03-28,2019-03-29,1304,en,False,8552
67157,2019-02-06,2019-02-06,2019-02-08,1304,en,False,8552
67158,2019-02-07,2019-02-11,2019-02-13,1304,en,False,8552
67159,2019-02-07,2019-02-19,2019-02-22,1304,en,False,8552
67160,2019-02-07,2019-03-29,2019-03-31,1304,en,False,8552
67161,2019-02-07,2019-03-29,2019-03-30,1304,en,False,8552
67167,2019-02-06,2019-02-08,2019-02-10,1806,da,False,2144630
67168,2019-02-05,2019-02-19,2019-02-25,2060,fi,False,47278
67169,2019-02-06,2019-02-20,2019-02-26,2060,da,False,6717304
67170,2019-02-05,2019-02-11,2019-02-16,2060,da,False,2321914
67172,2019-02-07,2019-03-15,2019-03-17,1806,en,False,12486
67173,2019-02-05,2019-04-19,2019-04-21,1304,en,False,8669
67174,2019-02-07,2019-04-15,2019-04-18,1304,en,False,8669
67177,2019-02-05,2019-03-22,2019-03-24,1232,en,False,1543137
67178,2019-02-07,2019-03-02,2019-03-03,1806,en,False,4414538
67179,2019-02-07,2019-03-01,2019-03-03,1304,en,False,149648
67182,2019-02-07,2019-03-07,2019-03-11,1512,en,False,1150530
67183,2019-02-06,2019-03-14,2019-03-16,1512,en,False,65677
67184,2019-02-05,2019-04-25,2019-04-29,2060,en,False,52818
67185,2019-02-06,2019-02-06,2019-02-07,1806,en,False,61291
67186,2019-02-05,2019-02-16,2019-02-17,1304,en,False,64603
67187,2019-02-05,2019-02-15,2019-02-17,1304,en,False,64603
67188,2019-02-07,2019-02-16,2019-02-17,1806,en,False,64603
67189,2019-02-07,2019-02-14,2019-02-18,2496,en,False,64603
67190,2019-02-07,2019-02-24,2019-02-27,1304,en,False,64603
67192,2019-02-05,2019-03-05,2019-03-07,2446,en,False,127856
67193,2019-02-06,2019-02-16,2019-02-17,2446,en,False,127856
67194,2019-02-06,2019-02-15,2019-02-17,2446,en,False,127856
67195,2019-02-06,2019-03-09,2019-03-10,2446,en,False,127856
67198,2019-02-07,2019-02-20,2019-02-22,1232,en,False,60406
67210,2019-02-07,2019-02-12,2019-02-13,1304,en,False,119387
67211,2019-02-06,2019-03-23,2019-03-26,1304,en,False,119387
67212,2019-02-05,2019-03-28,2019-03-31,1304,en,False,119387
67221,2019-02-07,2019-02-14,2019-02-17,1232,en,False,55869
67222,2019-02-07,2019-02-14,2019-02-15,2024,en,False,100274
67224,2019-02-05,2019-02-10,2019-02-11,1304,en,False,100274
67227,2019-02-07,2019-02-15,2019-02-18,1232,en,False,487771
67228,2019-02-07,2019-02-10,2019-02-16,1512,en,False,43047
67230,2019-02-07,2019-02-16,2019-02-17,1512,en,False,105607
67235,2019-02-07,2019-02-08,2019-02-09,1806,en,False,66939
67255,2019-02-06,2019-02-22,2019-02-27,1512,en,False,326351
67258,2019-02-07,2019-02-22,2019-02-24,1512,nl,False,81508
67260,2019-02-08,2019-02-17,2019-02-19,1512,en,False,1817105
67261,2019-02-08,2019-02-11,2019-02-12,1806,en,False,14694
67262,2019-02-08,2019-02-11,2019-02-12,297,en,False,63492
67263,2019-02-08,2019-02-20,2019-02-23,1512,,,1328259
67264,2019-02-08,2019-02-20,2019-02-23,1512,en,False,1328259
67265,2019-02-08,2019-02-22,2019-02-24,38,en,False,19543
67270,2019-02-07,2019-02-17,2019-02-24,2060,da,False,95798
67282,2019-02-08,2019-02-09,2019-02-12,1760,en,False,911157
67283,2019-02-08,2019-02-11,2019-02-12,1232,en,False,8779
67284,2019-02-05,2019-02-20,2019-02-22,1304,en,False,3835320
67285,2019-02-06,2019-03-30,2019-04-02,1512,,,3835320
67286,2019-02-06,2019-03-30,2019-04-02,1512,en,False,3835320
67289,2019-02-06,2019-03-30,2019-04-02,1512,en,False,3835320
67290,2019-02-06,2019-03-30,2019-04-02,1512,,,3835320
